1970년,1971년,1972년,1973년,1974년,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
70.3344,70.3344,74.620356,75.05701,75.8505,77.406513,76.581805,79.78509,79.957775,74.63872,71.524976,78.137472,75.439205,79.50778,78.760051,78.996318,79.329343,77.21198,78.74976,75.189004,79.396354,77.7411,77.99242,75.51228,78.459725,79.482524,80.440916,82.113136,74.723837,73.430395,75.760215,78.331808,76.67216,75.888066,78.55342,75.82048,77.581902,78.030304,78.238052,75.44234,78.721125,75.992684,80.445056,78.01166,80.651132,79.055904,79.25152,79.69622,84.04102
69.980751,69.980751,75.260082,74.034206,77.870322,77.630576,74.089535,76.9124,79.532534,73.02322,72.244858,78.3626,72.81536,80.387,77.179693,76.290872,79.212275,76.67416,77.881,72.72366,80.684936,71.346746,76.967772,72.061375,80.809174,78.883099,81.049924,81.472808,77.221764,68.84226,78.126776,79.722473,76.272413,75.12945,77.631521,76.9926,78.1727,79.32949,77.295306,75.6295,78.250971,76.383725,79.926912,78.806104,80.9663,77.826205,77.4873,81.6726,83.967272
69.046399,69.046399,75.857732,76.898292,75.026317,78.530965,74.401876,77.747982,76.699175,72.84986,70.910508,77.57945,75.4966,81.77926,78.22172,76.451018,77.614621,76.89518,77.29788,75.940475,79.821264,74.076928,75.1392,70.58728,81.515575,78.398,81.04584,83.534975,77.614661,68.97577,77.672672,79.917488,75.954865,76.337792,79.050556,75.286736,78.967492,78.21705,75.55777,74.729944,76.392256,75.87618,80.313553,80.055853,78.22006,78.423515,79.359886,80.214388,83.324357
71.047044,71.047044,76.008542,74.785975,76.97854,78.378241,74.627142,75.328,76.656575,75.05701,71.54458,76.423616,78.408498,81.091434,78.536758,76.506376,74.004528,74.42321,77.551392,77.73426,78.862275,72.830352,71.82156,71.846959,81.550745,79.262738,79.26338,80.995462,76.03887,72.735916,74.701522,80.375115,76.58906,77.65371,78.95852,79.1255,79.82363,74.756075,74.24437,76.153474,78.808199,76.234098,80.535583,79.702788,78.69148,78.049025,80.758428,80.276897,81.483334
68.124719,68.124719,77.83422,76.582,76.900554,78.086265,76.01746,73.76944,77.94118,73.7337,70.30845,70.53665,78.058055,80.628293,78.69067,73.849875,74.939226,76.068275,77.318288,79.011055,79.445545,72.7404,72.69539,71.63752,82.585284,78.755315,78.997465,79.538225,77.936725,75.447478,76.391032,77.296446,78.045922,76.31752,78.463072,80.313193,79.38706,74.579348,75.619371,75.55872,80.83496,79.411858,80.82082,79.091047,78.37575,78.85538,81.541388,82.30918,81.6572
66.765959,66.765959,76.605011,79.464455,74.55195,76.35783,75.2732,69.79697,77.55765,74.98368,70.37948,71.547745,79.126172,80.11664,77.904024,78.2383,74.262165,74.04736,78.83948,78.21985,80.221424,72.350924,73.850534,70.01558,82.4494,79.638368,79.638368,79.306784,76.046167,78.0385,75.13152,79.09924,71.737176,72.550718,78.907202,79.71849,78.344805,75.418535,77.518076,75.295046,79.689071,78.777625,80.949785,77.247488,75.170944,79.519015,81.30496,81.368238,82.38582
70.689831,70.689831,74.98052,78.701104,75.840277,78.11872,76.793071,73.36994,78.93283,73.25888,67.300552,69.51255,79.04425,80.01139,76.833228,77.744173,73.73968,68.089128,80.51075,76.7207,81.153195,72.728038,70.021011,70.48983,81.729559,79.26784,78.556725,78.303626,77.086496,79.59203,75.47568,78.36138,69.852352,71.339822,79.445545,77.016644,77.525184,73.68225,77.718427,76.112906,77.577232,78.565207,78.89164,79.962394,75.556383,79.912743,80.04264,79.900048,81.08243
71.646359,71.646359,74.647216,78.60404,76.31296,76.22464,74.99968,76.323591,77.850075,74.85922,65.993792,72.61278,79.55496,77.851794,77.83098,79.308402,73.864526,70.552202,80.598752,77.559208,77.585656,74.839099,73.5117,71.905753,81.8395,75.8711,78.661704,77.537812,74.414541,80.684148,77.50396,76.828282,74.96471,74.152437,78.906386,76.77421,79.63203,75.960191,79.3164,76.990755,77.385535,74.916744,78.018064,80.842645,74.629797,77.364894,81.034745,78.279678,82.03072
72.250624,72.250624,67.90005,79.464455,76.23839,74.05562,75.6206,75.04535,78.30812,77.027811,70.31024,76.000486,80.13175,75.272099,79.668714,77.565594,74.569096,74.722876,80.116456,76.394005,77.279856,71.20294,74.430435,76.509985,82.06018,76.732632,79.030655,78.427107,76.31752,80.252615,77.596201,74.517995,74.452325,75.57079,79.359884,76.62018,79.88544,77.145299,78.29348,78.339399,78.280806,76.08872,79.947405,81.623792,73.54154,76.953952,80.077881,77.303936,80.471756
72.615559,72.615559,70.605255,79.6056,77.77839,73.971632,74.96072,74.671954,77.768835,69.271932,71.686881,74.480165,79.169785,75.962735,80.440544,71.09789,75.369106,70.832625,80.38305,73.864526,76.225326,73.540595,75.046696,72.399124,77.520765,77.5517,78.178275,76.963325,73.76208,81.352108,78.398,75.716236,69.473328,73.401287,81.228258,75.70314,78.01454,78.828587,79.949402,76.7512,77.59944,76.30402,77.395244,80.03808,72.293604,77.13203,79.930378,75.604548,80.967637
